"id","SP_NAME","date_time","outletid","total_bet","total_win","pj_contribution","pj_payout","seed_money","seed_money_overk","seed_contri","ChannelType","platformcode","gamebrand","gamename","playerid","txn_count","bet_0_2","bet_3_10","bet_11_50","bet_51_100","bet_101_250","bet_251_1000","bet_1k_5k","bet_above_5k"
63,SP1,2024-11-01 00:00:00.000,"1",5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1354",1,0,1,0,0,0,0,0,0
64,SP1,2024-11-01 00:00:00.000,"1",4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1359",1,0,1,0,0,0,0,0,0
65,SP1,2024-11-01 00:00:00.000,"1",3.000000,9.600000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1365",1,0,1,0,0,0,0,0,0
66,SP1,2024-11-01 00:00:00.000,"1",5.000000,3.500000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1367",2,2,0,0,0,0,0,0,0
67,SP1,2024-11-01 00:00:00.000,"1",1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1368",1,1,0,0,0,0,0,0,0
68,SP1,2024-11-01 00:00:00.000,"1",0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1384",1,1,0,0,0,0,0,0,0
69,SP1,2024-11-01 00:00:00.000,"1",6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1388",1,0,1,0,0,0,0,0,0
70,SP1,2024-11-01 00:00:00.000,"1",1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1396",1,1,0,0,0,0,0,0,0
71,SP1,2024-11-01 00:00:00.000,"1",2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1421",1,1,0,0,0,0,0,0,0
72,SP1,2024-11-01 00:00:00.000,"1",1.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1444",1,1,0,0,0,0,0,0,0
73,SP1,2024-11-01 00:00:00.000,"1",2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1448",1,1,0,0,0,0,0,0,0
74,SP1,2024-11-01 00:00:00.000,"1",0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1451",1,1,0,0,0,0,0,0,0
75,SP1,2024-11-01 00:00:00.000,"1",1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1452",1,1,0,0,0,0,0,0,0
76,SP1,2024-11-01 00:00:00.000,"1",5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1457",1,0,1,0,0,0,0,0,0
77,SP1,2024-11-01 00:00:00.000,"1",3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1459",1,0,1,0,0,0,0,0,0
78,SP1,2024-11-01 00:00:00.000,"1",1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1465",1,1,0,0,0,0,0,0,0
79,SP1,2024-11-01 00:00:00.000,"1",6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1468",1,0,1,0,0,0,0,0,0
80,SP1,2024-11-01 00:00:00.000,"1",2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1479",1,1,0,0,0,0,0,0,0
81,SP1,2024-11-01 00:00:00.000,"1",6.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1496",2,2,0,0,0,0,0,0,0
82,SP1,2024-11-01 00:00:00.000,"1",13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1498",3,3,0,0,0,0,0,0,0
83,SP1,2024-11-01 00:00:00.000,"1",10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1504",1,0,1,0,0,0,0,0,0
84,SP1,2024-11-01 00:00:00.000,"1",6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1512",1,0,1,0,0,0,0,0,0
85,SP1,2024-11-01 00:00:00.000,"1",1.000000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1518",1,1,0,0,0,0,0,0,0
86,SP1,2024-11-01 00:00:00.000,"1",3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1520",1,0,1,0,0,0,0,0,0
87,SP1,2024-11-01 00:00:00.000,"1",0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1530",1,1,0,0,0,0,0,0,0
88,SP1,2024-11-01 00:00:00.000,"1",4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1550",2,2,0,0,0,0,0,0,0
89,SP1,2024-11-01 00:00:00.000,"1",0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1553",1,1,0,0,0,0,0,0,0
90,SP1,2024-11-01 00:00:00.000,"1",2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1556",1,1,0,0,0,0,0,0,0
91,SP1,2024-11-01 00:00:00.000,"1",0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1570",1,1,0,0,0,0,0,0,0
92,SP1,2024-11-01 00:00:00.000,"1",2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1574",1,1,0,0,0,0,0,0,0
93,SP1,2024-11-01 00:00:00.000,"1",5.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1579",1,0,1,0,0,0,0,0,0
